reviewText,subjectivity,enhanced_subjectivity
My vet informed me she thinks it could be food allergies.,0.0,0.0
Exactly as described!,0.0,0.0
APC came a couple hours away from burning down our office building.,0.0,0.0
"IE: Motion sensor when parked, Impact sensor.",0.0,0.0
They are sturdy and they are easy to transport.,1.0,1.0
I spent about an hour with these playing a game and noticed that they did not sound nearly as good as my old Bose.,0.0,0.0
Very cute.,1.0,1.0
She loves it.,0.0,0.0
"On the positive side, the pan heats evenly and the nonstick coating works wonderfully.",1.0,1.0
It's a good add on for the Bosch mixer but doesn't scrape as cleanly as I'd like.,1.0,1.0
"All in all, it looks great on my wall.",1.0,1.0
MAKE SURE ALL OTHER TABLET SOFTWARE IS REMOVED!,1.0,1.0
"So I'm guessing that is what is happening with this Roku, that literally has no capability of turning off.",0.0,0.0
The game is designed for 4-10 players and is relatively short with games lasting about 30 minutes.,0.0,0.0
This I can probably write  words about.,0.0,0.0
Still gets a little messy but there is no way around that.,,0.0
"Shortly after I bought this, I received an email stating that they have now improved the case and added the wake feature and that I can return this one for the new one.",0.0,0.0
Hinges are not as stated in manual.,0.0,0.0
Good job of offering good quality at a great price!,1.0,1.0
Even the edge of the case is molded in a clear PU material and you can see the color of the tablet.,0.0,0.0
This is a great knife.,1.0,1.0
Good price.,1.0,1.0
Very easy to use and makes great tasting coffee!!,1.0,1.0
"Temp measurement is NOT as fast as manufacturer asserts, but not a big problem.",0.0,0.0
I didn't care about the included HDMI cable or the level but those were nice extras.,1.0,1.0
"I have little barbs as well, and it's funny to see them swim around with one sticking out of their mouths.",1.0,1.0
Also I like the classic brown of this case as opposed to the standard black of most cases.,0.0,0.0
Works perfectly.,1.0,1.0
"The grip performance is wonderful too, carving into turns on these feels really sticky and satisfying.",1.0,1.0
"And it's portable, so I can take it into the other room with me and be sure I don't miss it.",1.0,1.0
These Bixbi Hip & Joint Chicken Jerky Treats get paws up from the pups.,1.0,1.0
Holds up REALLY well (No signs of wear yet),0.0,0.0
"My needs were VLAN and 802.1q support, Gig Ether speeds, a QUIET device (i.e.",0.0,0.0
Have an in between size and sized up,0.0,0.0
"I dropped a star because I tried to make a pancake at the temperature the recipe called for but the pan, larger than the pancake, was smoking hot on the uncovered areas around the pancake and the temps away from the pancake were MUCH higher than the setting.",1.0,1.0
"I didn't buy the original gopole because of the price, and I also wanted something that retracted.",1.0,1.0
Nice harness.,1.0,1.0
"It had flaws, but it works 95% of the time as you need.",0.0,0.0
These pants have worked out great for me.,1.0,1.0
I shop online for all 5 of our children and their spouses and  19 Amazing grandchildren.,1.0,1.0
Cry me a river.,0.0,0.0
They float atop the water as they should.,0.0,0.0
"The cord has a USB and 35mm audio jack at one end, the B-connector at the other - but it also has a built-in holder at the USB/35mm end to wrap the cord up.",0.0,0.0
This on works well & looks like a quality piece of hardware.,0.0,0.0
They came down to $170 + tax but wouldn't move close to the Amazon price.,0.0,0.0
"Very cute, loved the truck.",1.0,1.0
"They probably filter between 90 and 70% of the light, so in bright summer midday there is some light coming in.",1.0,0.0
"I don't quite get all the ""innovation"" on keyboard layout over the years.",0.0,0.0
"Looks great, and a good size.",1.0,1.0
"While writing on one of the blank ones with a chalk marker, I messed up and when I try to wipe it off, it started to remove some of the black from the sticker.",0.0,0.0
"To be so inexpensive, I didn't expect this level of performance...especially for this length of time.",0.0,0.0
Arrived on time.,0.0,0.0
"However, the decal enclosed is cheap looking and I just tossed them.",1.0,1.0
The bottom line is the Ninja Coffee Bar makes good coffee.,1.0,1.0
NO as I think BB makes good products and this one is also.,1.0,1.0
This little device worked great for about 6 months.,1.0,1.0
Appears to be good quality and does the job.,1.0,1.0
Go ahead and buy this.,0.0,0.0
This also was great Christmas storage..,1.0,1.0
Washes wonderful!,1.0,1.0
Finally there's the corckscrew.,1.0,1.0
Claims to be water proof and it is not.,0.0,0.0
"Excellent frame,  I took off the cheap parts and built a nice bike for the money I saved buying this one.",1.0,1.0
Good well made bag.,1.0,1.0
"It went together very easily and is a good size, but the material is so slippery.",1.0,1.0
They work very well.,0.0,0.0
This could be a big deal for some if they have not remembered the front button locations.,0.0,0.0
I think of them more as boxes than baskets.,,1.0
"However, that changed when I upgraded my Mac's system to Lion (10.7).",0.0,0.0
I do not use ice cubes in it.,0.0,0.0
"Starts up, shuts down, pairs readily when button is pressed as directed.",0.0,0.0
Still it's a great height for her and works well for lending more independence while under supervision.,1.0,1.0
"UPDATE JUNE 4, 2018 THE END
After five good years of smoothies with almond milk, water, protein powder, and frozen fruit, I think this Breville motor is getting tired.",1.0,1.0
"I had this bag in the bottom of my backpack during a 10 day trip to Spain and through average use, I'm glad to report it held up.",1.0,1.0
"So we got a sofa cover in brown, three new beds and this blanket that covers all three of them very well.",0.0,0.0
"My Honey loves them , when she works out ,she has both filled with water and she drinks a lot of water",1.0,1.0
Good product,1.0,1.0
Furthermore it has an issue with Apple earbuds.,0.0,0.0
Real cute!,1.0,1.0
non effective.,1.0,1.0
the speed is amazing.,1.0,1.0
Follow the directions from that point forth by establishing wifi names/passcodes then proceed to update the firmware then you're DONE.,0.0,0.0
"I bought this as an inexpensive replacement for the alarm clock I ""accidentally"" destroyed one evening.",0.0,0.0
"Now, in order to have a latte, I need to use the latte setting and then run it a second time on ""heat and froth"" - what garbage!",0.0,0.0
Very cool and very quiet.,1.0,1.0
The company seems very concerned with how pleased I am with it and willing to help if I have any issues.,1.0,1.0
So awesome it comes in a gallon jug.,1.0,1.0
"Just do yourself a favor and buy this, and enjoy the months to come, it worked great on my two outdoor dogs.",1.0,1.0
Picked up another for my girlfriend at the time and custom programmed it for managing her iPhone playlists through the Sony receiver.,0.0,0.0
"Within two days they arrived on my doorstep and I opened the box with glee, unwrapping and cutting off the overly stiff plastic ties and immediate disinfecting my two new ice accouterments.",1.0,1.0
It is also easy to set the time and the alarm time without needing to refer to directions.,1.0,1.0
The only downfall is the foot opener.,1.0,1.0
It just didn't work that great.,1.0,1.0
Oh... and it cost less than a quarter of the price of this one too.,0.0,0.0
nice product and great price.,1.0,1.0
"At half the price, I'm ok with them crapping out on me after one year.",0.0,0.0
I never put much thought into a dice bag until I got this.,0.0,0.0
"I received the 3 wisemen as a Christmas gift, and they look wonderful with my Willow Tree Nativity set.",1.0,1.0
"The container was brown (rather than the red colorful one pictured), but my Guinea pigs don't seem to care about the color.",0.0,0.0
"I would however, be extremely interested in trying JSB Diabolo's ""Jumbo Exact Monster"" in a .25 caliber, (28gr) size.",0.0,0.0
"He especially loves being able to drink the coffee throughout the day, and still have it be hot.",1.0,1.0
I like this box.,0.0,0.0
"Installation was pretty straightforward, find a spot on your windshield, stick it, run the wires.",1.0,1.0
"So by comparison, this this is hilariously easy to clean.",1.0,1.0
With the NP-NVC18 not a single grain stuck!,0.0,0.0
"Unfortunately, I can not recommend them.",1.0,1.0
It does very well.,0.0,0.0
3D gaming is also superb.,1.0,1.0
The liner is soft and will protect your valuable Mac while showing your sense of style.,0.0,0.0
More colors please :) !,1.0,1.0
"That slowed me down a lot, and prevented me from doing quotation marks.",0.0,0.0
"If you found this review helpful, click the button below; it helps me in return!",0.0,0.0
I got tired of spending $12 a day at starbucks.,1.0,1.0
"Anyhow, I have not been disappointed, excellent picture and features.",1.0,1.0
We store it flat in the boat freezer and it is so versatile and handy on hot summer days...doubles as an ice pack when you get a bit overheated!,1.0,0.0
"My spouse was able to force them in at an angle, and I am sitting on it comfortably.",1.0,1.0
Makes a good cup of coffee while it works but lasts only months.,1.0,1.0
Nice and roomy bag.,1.0,1.0
Bought this as a gift for my son.,0.0,0.0
"nice small spreader, wood is smooth and polished",1.0,1.0
The alert beep while on battery power is so bloody loud i had to hit the mute button on the unit to turn it off.,1.0,1.0
Working perfectly .,1.0,1.0
"The lens case is plastic and doesn't feel very professional, but the glass inside is all that matter - and it creates professional results.",0.0,0.0
Great peace of mind.,1.0,1.0
"I think though, this will last me a year.",0.0,1.0
Needed this for my Nightmare Before Christmas Halloween/Christmas set up.,0.0,0.0
I have no idea what this white stuff on the ice trays is.,0.0,0.0
Easily connected to note3.,1.0,1.0
"When I got them, they seemed really sturdy.",0.0,0.0
"This is nice to have, its has everything you needs to so your own Mani and pedi only thing missing is the nail polish.",1.0,1.0
The clasp is great!,1.0,1.0
The dispenser is of worst quality in all respects I have ever seen.,1.0,1.0
My words are always 100% my own.,1.0,1.0
"Our vet initially thought our dog had food allergies, I really think she is just sensitive to processed foods.",0.0,0.0
You've seen the postings on Craig's List but they can't be trusted.,0.0,0.0
I purchased a dashcam that specified the need for a FAST memory card and this Lexar High performance card does the job and continues to do so in a device that is often setting in the hottest and most difficult conditions.,1.0,1.0
"Although small, it is secure and well made- I don't think light and moisture will be destroying it anytime soon.",,0.0
"Overall

Battery life as stated.",0.0,0.0
Which one should you choose?,0.0,0.0
"Lots of people complained about the smell, I didn't notice it AT ALL.",0.0,0.0
Freezes solid.,0.0,0.0
"They keyboard is extremely well built, key stroke feel is consistent just like it was out of the box, and it doesn't leave the finger smudge marks all over the keyboard like the other ones used to (it's not 100% smudge proof.",1.0,1.0
You'll also need to buy a basket for the balls.,0.0,0.0
It is.,0.0,0.0
"On the upside, I contacted Monoprice's customer support and they shipped me a new pen, free of charge.",1.0,1.0
Very high quality - highly recommend.,1.0,1.0
"And honestly, I felt a little sexy in it.",1.0,1.0
Not 1 solid piece anymore) would cause bumps altering roller travel.,0.0,0.0
My group of 15 tennis players like it,0.0,0.0
Well made  and light weight.,1.0,1.0
"Hands down the best Case for Servers, Gamers, etc.",0.0,0.0
Only one washcloth has lost it's stitching on the edge.,1.0,1.0
The Monster Inspiration case is not as wide but is thicker due to the way the headphones fold.,0.0,0.0
Great product!,1.0,1.0
It is perfect for my kindle.,1.0,1.0
"Glasses look great, wash well in top rack of dishwasher, and if someone drops them they won't break.",1.0,1.0
19 months of joy followed by a morning of disaster.,0.0,0.0
The duck really was quick to inflate.,0.0,0.0
"(I might add that the vet even sprayed my embarrassed boy's behind after he was expressed and though he needs this embarrassing procedure done rarely, it is nice to know that I have a ""neutralizer"" to use until I can get his problem resolved.",1.0,0.0
which makes the picture tilted slightly.,0.0,0.0
I will buy from this company again.,0.0,0.0
I bought this in September 2015 and it is now February of 2016 and the cable has stopped working for no apparent reason.,0.0,0.0
so far so good.,1.0,1.0
If this is what you want - this one is XLNT!,0.0,0.0
But worked good.,1.0,1.0
works great so far,1.0,1.0
Great quality.,1.0,1.0
I really do like these.,0.0,0.0
Great little oven.,1.0,1.0
I ended up going with this product since you can set the voltage for whatever low power solution you would need.,0.0,0.0
Bag is well made.,0.0,0.0
never thought it would make much quality difference but it really did would definatly recommend.,0.0,0.0
"If traffic is a big concern, then I can't recommend the unit.",0.0,0.0
Haven't given it yet but it seems just like described,0.0,0.0
The soft box is very difficult to fold.,1.0,1.0
It is quite sturdy and it looks amazing.,1.0,1.0
"I'm 5'8 and unless I wrap/tie my reusable bag handles several times around the Mighty Handle, they will drag on the floor.",0.0,0.0
So adorable and keeps my son entertained,1.0,1.0
I think if you'll look around at the reviews while you're shopping... most of those reviews are truly honest.,1.0,1.0
Perfect for what I was looking for,1.0,1.0
"Once I noticed the color matching sleeves for the rods, it was simple and sets up similar to a tent.",0.0,0.0
What really clinched it was during research discovering that many times 650 count is not really that.,0.0,0.0
Color is scratching off of bottom edge after medium use.,0.0,0.0
"Plus, when I'm done with it, I can just give it a quick wipe down (after its cooled off) and chuck it in the cabinet.",0.0,0.0
"Or, you could peel your fruit/vegetable by hand first, which sort of obviates the need to drop $100 on a spiralizer that claims to peel but basically doesn't.",0.0,0.0
"Finally, although the instructions say you can, I haven't been able to set the LED lights to automatically turn off when the computer goes to sleep.",1.0,1.0
"External pockets are snug for 30 round AK mags, wish they were a bit wider.",0.0,0.0
These are easy to install and use.,1.0,1.0
"When the pot has cooled, I place the unused portion in the refrigerator to be used the next day.",0.0,0.0
Great product and really great price.,1.0,1.0
Thanks again!,0.0,0.0
"I connect RCA's for the TV sound, and the 3.5mm headphone jack to an Amazon Echo Dot which surprisingly mixes both sources without the need of an external mixer.",0.0,0.0
"The adapter works very good, nice range and fast pairing.",1.0,1.0
My Holistic vet has also warned me for about 10 years about the use of herbs for pets.,0.0,0.0
Works as well as the originals.,0.0,0.0
My dog who chews up everything still has not chewed this bed up.,0.0,0.0
Something easy to use..simple..and lightweight.,1.0,1.0
Used it today!!!,0.0,0.0
They are small and look great on my desk next to my computer.,0.0,0.0
Luving the remote with this one!,0.0,0.0
"They informed me that I sound much better after using this, so I would say I'm happy with it!",1.0,1.0
Anything with wheels is cool.,1.0,1.0
Good Product!,1.0,1.0
I was looking for an inexpensive bedspread for my spare room so I decided to go with this.,0.0,0.0
"The quality is not good at all, and I would be embarrassed to display anything in it.",1.0,1.0
Children know the secret to a wonderful bear and sometimes adults need to re-visit the gift that a perfect bear can give.,1.0,1.0
I have to wear reading glasses all the time to read anything.,0.0,0.0
I am impressed by the build quality and sound they produce.,1.0,1.0
She's had healthy pups and easy labors with Oxy Mate and Oxy Momma.,1.0,1.0
"I am in no way affiliated with the seller, nor the product itself.",0.0,0.0
Not much to say about a VGA cord.,0.0,0.0
"The reason I purchased this item was that 9 out of 10 times I walked away from my desk and left my phone plugged in, that is when someone would call.",0.0,0.0
I ride on a very busy road with a lot of debris to get out of my house to where I need to go and I used to get a TON of flats (probably 1 a week at least).,0.0,0.0
PPP=Perfectly pleasing purchase,0.0,0.0
The only issue that I have found is that at times they start to fog up from my breath.,1.0,1.0
It took me two years to find exactly what I was looking for when I finally decided to replace them and I was pleasantly surprised with the unmistakable quality of these tablecloths.,1.0,1.0
"Fairly consistent width of product, despite the laxity and wiggling of the attachment, and it produces loooooooooong spirals.",0.0,0.0
Turns out it's more like 29 meters away so I was initially disappointed when the Brink's truck showed up with this.,1.0,1.0
Absolutely recommended!,1.0,1.0
"Step 8: Uninstall your Antivirus Software (important) then RESTART PC

Step 9: Go to Windows Store and upgrade to 8.1

Step 10: leave computer on for 2hrs as it upgrades.",1.0,1.0
The ones with egg are smoother.,0.0,0.0
My two kittens are only 5 months old and they are able to torn this up.,1.0,1.0
This is a very comfortable and affordable wrap that is highly recommended.,1.0,1.0
The pieces are somewhat lighter than you'd expect given the design -- I think most of the silverware I've seen that have those rounded corners and the 'tear drop' shape tend to be quite heavy.,,1.0
The stylus got lost our first day so I can't comment on it.,0.0,0.0
The SSD wins hands down for fast load times and the 10 yr warranty.,0.0,0.0
Works very well.,0.0,0.0
"works great where my laptop on-board adapter fails, but every few days gets funky until I eject and unplug for a minute or two.",0.0,0.0
This was neatly packed.,0.0,0.0
She picked these because of all the princesses in the family.,0.0,0.0
The Perfect Portions gave the same weight as the OXO and repeated weights of the same item also gave the same weight.,0.0,0.0
I watch these food channels and they are always using parchment paper.,0.0,0.0
I used hooks so I can easily remove them for winter.,1.0,1.0
This fit my perfectly.,1.0,1.0
Anything to get the job done.,0.0,0.0
"I am 5'8"" with 42"" chest.",0.0,0.0
I will try to purchase locally or from another seller.,0.0,0.0
"Why can't you find solutions for your ""Wire Management"" problems.",0.0,0.0
I have these slider soft foam balls and they are just as soft for indoor work but also hefty enough to use outdoors on a slightly windy day.,0.0,0.0
"The colors were accurate, but I certainly would not want to sleep on a plastic tarp, let alone expose my guests to those conditions.",1.0,1.0
My initial intention was to connect all of my TV-related devices to this surge protector so that I can switch them off completely in one go without unplugging every individual device (standby mode still drains juice and my cable set-top box doesn't have a standby mode).,0.0,0.0
I hung them up and was very disappointed by the irregular lengths.,1.0,1.0
It looks like an awesome replica.,1.0,1.0
I put it aside for a few days and was almost ready to return it when I decided to try it again.,0.0,0.0
The extreme crop factor means you will probably need to buy wider angle lenses to compensate.,1.0,1.0
I always try to make her mornings as sweet and simple as possible.,1.0,1.0
"The pockets are convenient and the price is great, certainly compared to what I could find at the apple store.",1.0,1.0
If you work from home and also have children to watch you could still see them playing while earning your paycheck.,0.0,0.0
Easy to use.,1.0,1.0
Works as advertised,0.0,0.0
never herd of this before.,0.0,0.0
Cheap quality.,1.0,1.0
"We had a really awkward area where we needed to put our trashcan, and this one actually fit there and still looks really good.",1.0,1.0
Good anchor.,1.0,1.0
"Hence only the 4, but I love these models, they are always great and look so.",1.0,1.0
"Perfect for fixing my steamed clams, salt potatoes and sweet corn.",1.0,1.0
Was it this medicine that attracted fleas or did she have a couple fleas that I never saw and this medicine was drawing them out and off of her.,0.0,0.0
"Has good resolution and image, captures well.",1.0,1.0
You might consider night sights if you don't have them already.,0.0,0.0
One it was built it was really fun to watch/play with.,0.0,0.0
The whole-grain rice is perfect every time.,1.0,1.0
Your chosen walkaround camera & lens combo will be proud to call this handsome item their home away from home.,1.0,1.0
"Out of the box, I had HDMI signal dropouts, and a message from the TV which stated ""Unsupported Signal"" every thirty seconds to a minute.",0.0,0.0
"These cups are perfect... for goose eggs, maybe.",1.0,1.0
Our Piper NV has a built in motion and loud noise detector.,1.0,1.0
See Commentary section below for websites where you can download this software and instructions for how to use it.,0.0,0.0
"However, because our dogs tolerated this stuff so well... this is going to be our go-to spray from now one.",0.0,0.0
This was tested with two units.,0.0,0.0
The wipes don't have a lot of product on them and they work about the same as a baby wipe which cost a fraction of the price.,0.0,0.0
Fantastic and POWERFUL!,1.0,1.0
Cats liked it.,1.0,1.0
Arrived on time.,0.0,0.0
"speakers
2: Durable, rubberized shell
3: Multi-function with included flashlight and power bank
4: water proof, shock resistant and dust proof
5: No need to pair a device as the SD slot lets you play music directly from an SD card
6: Easy to pair
7: Stable connection

The speaker feels heavy duty and is probably too heavy to take backpacking but perfect for any other type of outdoor activities.",1.0,1.0
This is a very nice thermometer.,1.0,1.0
"It's strong and dense, absolutely nothing about it feels cheap, from the user experience to the physical feel of it.",1.0,1.0
My DIY PC was upstairs and the router is downstairs.,0.0,0.0
Only good maybe for a guest bedroom.,1.0,1.0
Its not very heavy and its very bright!,1.0,1.0
"Awesome, heavy-duty cot.",1.0,1.0
Robot Mode.,0.0,0.0
"In comparison to other Loaf Pans I purchased in the past, they were not only expensive, but I was totally disappointed with sticking & cleaning problems.",1.0,1.0
An Amazing Product at an AMAZING price!,1.0,1.0
"But then that was my fault, I did not need to order it.",0.0,0.0
Moving the mouse around starts to feel heavier and heavier which intensifies the wrist hurting.,0.0,0.0
We have two dogs.,0.0,0.0
How could it be???,0.0,0.0
"The cover fits perfectly, albeit, a bit heavy, but then I'll only use the cover when I'm going somewhere to protect it in my purse.",1.0,1.0
I have had a great time assembling bizarre devices.,1.0,1.0
"I was surprised when I found this, as I didn't know Motorola made GPS units.",1.0,1.0
The brush is in two parts.,0.0,0.0
"The others love these, especially the cheese flavor.",1.0,1.0
Awesome product!,1.0,1.0
"He would then recharge for about an hour, run for about 30 minutes, recharge again, and finally finish vacuuming in about 20 minutes.",1.0,1.0
I use one of the jars and just measure out 7 servings of milk into a pan.,0.0,0.0
It's a bit awkward to have this thing sticking out of your PC but it's helpful as a convince wifi device if your PC doesn't have one and running an Ethernet cable is a little impractical.,1.0,1.0
Perfect for my windows!,1.0,1.0
im using this as lotion.,0.0,0.0
"The design it self is slim, compact, and elegant.",1.0,1.0
"In that regard it's not a complete failure, and gets 2 stars.",0.0,0.0
I've owned & used brand name chain store sold Cooling pads since 1995.,0.0,0.0
Bought this for a friend who attached it to his motorcycle helmet and has been getting lots of footage of horrible drivers in Las Vegas.,1.0,1.0
Great product and company!,1.0,1.0
"I travel a lot, and I had satellite service at home, paying for it every month and really not getting my money's worth.",0.0,0.0
"So I set about looking for a comparable item, but for less.",0.0,0.0
So since I now have a second puppy I knew I had to find one.,0.0,0.0
My granddaughter loves it.,0.0,0.0
They are far safer than lit candles.,1.0,1.0
"I've had my RCA Mave Pro from September to now (november) and I'm so happy that I got it, because I haven't stopped loving mine.",1.0,1.0
"Things she has learned:

1.",0.0,0.0
Hope this review is a warning to others.,0.0,0.0
Keeps me from waking my wife at night.,0.0,0.0
It is awesome and so easy to use!,1.0,1.0
"Easy to clean, just tilt and run water down the grill while wiskng with a bottle brush.",1.0,1.0
"11) I didn't find any option to dim the display on the unit, which can be quite bright when watching movies at night.",1.0,1.0
"I have no idea what's in these that they're not saying, but I'm kind of afraid.",1.0,1.0
"Great job, Nikon!",1.0,1.0
Which I think refers to the area at the end of the bag.,0.0,1.0
"Very large, nice and thick and looked fabulous at our BBQ barn-themed dinner!",1.0,1.0
"Some other points:
1.",0.0,0.0
You just cant turn the cart sideways as the swivel will trail down hill....and off it goes...but whos to say if it does that.,0.0,0.0
Does what it says on the box.,0.0,0.0
Just GO.,0.0,0.0
This thing is really cool!,1.0,1.0
I have no other issues.,0.0,0.0
The base dose not stick well to surfaces.,1.0,1.0
I go snorkeling a lot so I bought it for that.,0.0,0.0
"Here's my Dad's homemade chili recipe that works great in the pan:
- Brown 1lb frozen 93% lean ground beef in saut pan over medium high heat.",1.0,1.0
This is awsome!!,0.0,0.0
This was a gift chosen for a wine connoisseur friend.,0.0,0.0
Great to make our own egg muffins.,1.0,1.0
This sweeper vacuum is all it promises to be...it really vacuums well on bare floors and rugs..,0.0,0.0
"Another one in the office does it too, so 3/3 with display issues.",0.0,0.0
Does the job.,0.0,0.0
"The Veyron, which uses a W-16 engine (two V-8s side by side), develops 1,000 horsepower.",0.0,0.0
"If your unit makes any noise at all, return it back immediately.",0.0,0.0
works great,1.0,1.0
I can't even tell if it works at all -- there are no power lights that I can see.,0.0,0.0
Contrary to how it looks it holds only one nutmeg at a time.,1.0,1.0
Hinges mobile.,0.0,0.0
I've had it for a year now and I use it every morning for about 20 minutes.,0.0,0.0
It will jump one word away or a paragraph away.,0.0,0.0
works as design,0.0,0.0
Statue is beautiful and looking forward to buying more.,1.0,1.0
Best temperature probe on the market.,0.0,0.0
"Our kids are 10, 8, 3 and 7 months.",0.0,0.0
I got no warnings or beeps or anything.,0.0,0.0
I personally don't like the taste in large quantities.,0.0,0.0
These are perfect for my black stove and gives my whole kitchen a sleek appearance.,1.0,1.0
I gave this one a chance and was not happy.,1.0,1.0
"If I were reviewing the Veyron I'm sure I'd find faults, but that doesn't change the fact the product that is under review suffers from the two 1-star faults I listed.",1.0,1.0
I even get sad if we leave these behind on vacation.,1.0,1.0
Perfect for a set of good dishes.,1.0,1.0
"Work great, saves on targets.",1.0,1.0
We like Franklin for gloves!,0.0,0.0
"It is precise though and range is good, I'd say up to 250 feet.",1.0,1.0
Huge and high quality.,1.0,1.0
Awesome fun sign and great seller!,1.0,1.0
Other than that I really like it.,0.0,0.0
Great mount.,1.0,1.0
Good for casual / range use.,1.0,1.0
Came really quick and works perfect.,1.0,1.0
"Downloaded and installed it, ran it and followed a Youtube tutorial video showing exactly how to move the recovery partition and combine the boot partition with the unallocated space, and voil, done.",0.0,0.0
latest update 9/12/2016 - I'm done with this product!,1.0,1.0
It's been running for a couple of months with no issues at all.,0.0,0.0
"It is smaller than I expected, but have had some fun playing with my cat.",0.0,0.0
Great Glasses,1.0,1.0
"Hair gets stuck in the small spikes on the toy, so what I do is just grab some dishwashing soap and a dish brush that I use only for the pet bowls and just scrub the bejeezus out of these things.",1.0,1.0
Exactly as described.,0.0,0.0
Because of lack of company information his would make firmware updates impossible.,1.0,1.0
Maybe the driver on the enclosed CD would work too but it won't be the latest one.,1.0,1.0
Hopefully it holds up to washing.,0.0,0.0
This is a great kitchen scale!,1.0,1.0
I do have a few more lids so I will definitely be buying another one.,0.0,0.0
"The Old Hickory brand (currently Ontario Knife Company) is one of the last American made, forged steel kitchen knives.",0.0,0.0
"The duck itself is great, it is big enough to fit my baby with room to grow and small enough to fit into the tub (we have a standard size tub).",0.0,0.0
Beautiful piece.,1.0,1.0
2 stars for build quality and basic function and value of price.,0.0,0.0
Yamaha should rather invest in a better remote.,0.0,0.0
"The pocket clip can be moved to the other side, which allows for the design to work; the knife opens when you pull it out of your pocket.",0.0,0.0
Not sure how effective it is....but it is cute!,1.0,0.0
"HP Connected Photo: Sync, edit, and share photos.",0.0,0.0
I recently purchased my second Acer.,0.0,0.0
Stick to pushups.,0.0,0.0
Everything I have stated within this review is my honest opinion and my opinion alone.,1.0,1.0
This is some of the best oil cleaning ever used on my guns I have tried a lot of different types and this is the best hands down.,0.0,0.0
I got this as a gift for my friend and she absolutely LOVES it!,1.0,1.0
Now if only I could find a battery like this (that works when you charge it!),1.0,1.0
it's things like that make this unit one that you hesitate to give without some detailed instructions.,1.0,1.0
The second time makes it seem like a design flaw or just cheap construction.,0.0,0.0
Also it is front heavy when mounted on the iPhone.,,0.0
ZAGG to their credit has done and excellent job labeling keys with easy to understand icons in addition to their primary function.,1.0,1.0
"The 4K on the Black looks beautiful, but so dose the 2.7K on the Silver.",1.0,1.0
"If your toaster doesn't work very well, keep it anyway.",0.0,0.0
Good intent; bad execution.,1.0,1.0
Coffee machines with heating elements in the base for glass carafes have caused unpleasant issues in my past.,1.0,1.0
"Keeping water in tub, off of floor.",0.0,0.0
Company was awesome and I will use them again.,1.0,1.0
So glad to find another porcelain cooking well.,1.0,1.0
"You could actually smell the chlorine, which can't be healthy.",0.0,0.0
Just wish they were a tad sharper.,0.0,0.0
Works amazingly well.,1.0,1.0
I just needed to make a slight adjustment.,0.0,0.0
Below are pics of each shade and a pic without any color so you can get an idea of lighting in the picture.,0.0,0.0
This works for every optical audio port I have.,0.0,0.0
"I received email same day regarding credit, and it automatically was applied on my next Aveeno order.",0.0,0.0
But it has survived somehow.,0.0,0.0
Buy yourself a timer.,0.0,0.0
Sure it folds flat but every back packer I know stores things inside of their pot during travel.,0.0,0.0
The removable cover is nicely made of tough water resistant material that should last for years and is very easy to spot clean... the fact that replacement covers are also available for a reasonable price is another plus.,1.0,1.0
These feel wonderful.,1.0,1.0
The problem I had though is that my computers all have flat screens.,0.0,0.0
It will probably go to Goodwill.,0.0,0.0
Sometimes I would only see reviews from those receiving a discount and not want to purchase it as I didn't feel they were being honest back then.,1.0,1.0
"However, for the price I expect it to work at all settings.",0.0,0.0
Not extremely pleased with the condition it arrived in.,1.0,1.0
The game itself is easy to understand but is challenging enough to keep you playing for a long time.,1.0,1.0
"By far, the BEST OUT THERE.",1.0,1.0
"Not sure how well it would stack, unless you have really light things in the top unit.",1.0,1.0
Not much else can say about it.,0.0,0.0
I purchased the metabones adaptor and use my canon glass with it.,0.0,0.0
"It comes with good knights, and bad knights, and even a dragon.",1.0,1.0
"My issue is that within a week of using it, the hydro flask started making an annoying rattling noise.",1.0,1.0
"It's good for about 2 years then the battery looses power and cannot be replaced, so the thing gets thrown out after that time.",1.0,1.0
"It makes a good cup of coffee, and it takes up no room on my counter.",1.0,1.0
Great puzzle.,1.0,1.0
The mattress arrives in a tight plastic roll and it expands over time.,0.0,0.0
"Additional comments/update on October 26th, 2017:

After two years of owning this shower curtain liner, I have become a little disappointed in the way the product wears with time.",1.0,1.0
"Happy I bought them - I wish I had bought the longer ones, though....",1.0,1.0
"Thankfully the app for this is free, and it works great without having XM/Sirius.",1.0,1.0
Nice case,1.0,1.0
Its cute and I think they will get a kick out of it.,1.0,1.0
Overall a great product.,0.0,0.0
Loads games much faster than my WD Blue HDD.,0.0,0.0
Saw this at a store but didn't get it.,0.0,0.0
"When I clear it the system goes back to the programmed amount, until a few days later when it happens again.",0.0,0.0
I got this quite a while ago but it still does everything that I need.,0.0,0.0
Very nice.,1.0,1.0
Water bottle can be in too.,0.0,0.0
Great value!,1.0,1.0
Has worked very well.,0.0,0.0
We use it to play WoW.,1.0,1.0
I just got it and popped it in my D7000.,0.0,0.0
There's no measurement in meters with this rower whatsoever.,0.0,0.0
"Well made, very heavy pan.",1.0,1.0
The lighted keyboard was exactly what I needed.,0.0,0.0
Now I just need to learn to make animals with these.,0.0,0.0
Good signal.,1.0,1.0
Fun design.,0.0,0.0
These are so cute!,1.0,1.0
These glasses come as a set of two.,0.0,0.0
